Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P31224,113482.9154,Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1,acrB,450,275
P0ABQ2,30389.81841,2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) GN=garR PE=1 SV=1,garR,4065,385
P77748,113157.9224,Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1,ydiJ,77,258
P0AB77,43071.72819,2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1,kbl,2850,168
P0A9C0,58903.37347,Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) GN=glpA PE=1 SV=1,glpA,1527,87
P60438,22211.83448,50S ribosomal protein L3 OS=Escherichia coli (strain K12) GN=rplC PE=1 SV=1,rplC,34899,17531
P0A7V3,25949.15933,30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2,rpsC,33612,11380
P0C8J6,30774.55511,"D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1",gatY,15927,5029
P60757,33327.35988,ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hisG PE=1 SV=1,hisG,249,2905
P0A6A6,49832.04222,3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2,leuC,719,4175
P0A9X4,36911.03451,Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1,mreB,4257,3752
P76116,38571.4174,Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1,yncE,1659,3504
P69786,50625.74752,PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1,ptsG,629,1735
P60906,46982.01028,Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2,hisS,2276,1762
Q46856,42052.78947,Alcohol dehydrogenase YqhD OS=Escherichia coli (strain K12) GN=yqhD PE=1 SV=1,yqhD,4760,1526
P0ABC7,45499.07951,Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1,hflK,1563,1022
P0A8N5,57772.14117,"Lysyl-tRNA synthetase, heat inducible OS=Escherichia coli (strain K12) GN=lysU PE=1 SV=2",lysU,1466,506
P45464,72761.97123,Penicillin-binding protein activator LpoA OS=Escherichia coli (strain K12) GN=lpoA PE=1 SV=1,lpoA,518,413
P24171,77448.95692,Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4,dcp,191,308
P08957,59251.50285,Type I restriction enzyme EcoKI M protein OS=Escherichia coli (strain K12) GN=hsdM PE=1 SV=1,hsdM,595,366
P06149,64553.60212,D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3,dld,192,216
P00926,47852.13812,D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3,dsdA,834,203
P15042,73542.28557,DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2,ligA,461,195
P75780,81891.90875,Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1,fiu,301,215
P30958,129883.2773,Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2,mfd,48,34
P04983,54988.72377,Ribose import ATP-binding protein RbsA OS=Escherichia coli (strain K12) GN=rbsA PE=1 SV=1,rbsA,76,38
P0A7V8,23436.61845,30S ribosomal protein S4 OS=Escherichia coli (strain K12) GN=rpsD PE=1 SV=2,rpsD,23936,12236
P69441,23553.271,Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1,adk,8342,5790
P0A858,26936.80958,Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1,tpiA,4719,5152
P0AB91,37967.50301,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1",aroG,1304,6517
P16700,37573.27827,Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1,cysP,290,3515
P18843,30599.77658,NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2,nadE,1632,3500
P37902,33381.16628,Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2,gltI,1312,3427
P04036,28720.56121,Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1,dapB,1689,3109
P15288,52864.14219,Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3,pepD,5269,2409
P15640,45893.14698,Phosphoribosylamine--glycine ligase OS=Escherichia coli (strain K12) GN=purD PE=1 SV=2,purD,219,2034
P12758,27123.83212,Uridine phosphorylase OS=Escherichia coli (strain K12) GN=udp PE=1 SV=3,udp,20521,1572
P21170,73833.42148,Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2,speA,1043,904
P0ABJ1,34870.5555,Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1,cyoA,2012,749
P0A6Z1,65594.0187,Chaperone protein hscA OS=Escherichia coli (strain K12) GN=hscA PE=1 SV=1,hscA,1568,835
P21165,50126.32646,Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2,pepQ,1344,1101
P0A749,44771.46454,UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=murA PE=1 SV=1,murA,1055,698
P15034,49766.1139,Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2,pepP,648,463
P02943,49862.58108,Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1,lamB,2048,301
P0AG90,66572.67588,Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1,secD,504,225
P05825,82038.47549,Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2,fepA,62,258
P21177,79525.42988,Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2,fadB,343,29
P0AE08,20730.40145,Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2,ahpC,56033,51210
P0A6T5,24796.90762,GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2,folE,1817,11677
P0A9Q9,39974.477,Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1,asd,2419,14910
P0A877,28688.02998,Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1,trpA,914,4479
P0A879,42937.58854,Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2,trpB,607,3473
P0AFG0,20500.46283,Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2,nusG,7724,4808
P0A6A3,43245.07012,Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1,ackA,13696,4092
P0AEZ1,33063.77233,"5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1",metF,316,3354
P18335,43721.10429,Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4,argD,193,3126
P0AEZ3,29577.61181,Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2,minD,3855,2460
P0AAI5,43000.55275,3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2,fabF,4474,2333
P37666,35355.05266,Glyoxylate/hydroxypyruvate reductase B OS=Escherichia coli (strain K12) GN=ghrB PE=1 SV=3,ghrB,1348,2049
P07012,41207.29926,Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3,prfB,2553,1578
P0A7E1,36733.3769,Dihydroorotate dehydrogenase OS=Escherichia coli (strain K12) GN=pyrD PE=1 SV=1,pyrD,342,1802
P38489,23872.20471,Oxygen-insensitive NAD(P)H nitroreductase OS=Escherichia coli (strain K12) GN=nfnB PE=1 SV=1,nfnB,1810,1527
P0AEB2,44397.66983,D-alanyl-D-alanine carboxypeptidase dacA OS=Escherichia coli (strain K12) GN=dacA PE=1 SV=1,dacA,1751,1539
P0ADE8,36053.36943,tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2,ygfZ,2011,1462
P76658,51000.70717,Bifunctional protein hldE OS=Escherichia coli (strain K12) GN=hldE PE=1 SV=1,hldE,1572,1030
P0A6L0,27698.32324,Deoxyribose-phosphate aldolase OS=Escherichia coli (strain K12) GN=deoC PE=1 SV=1,deoC,6306,615
P07023,41997.8894,T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1,tyrA,212,615
P08506,43563.33921,D-alanyl-D-alanine carboxypeptidase dacC OS=Escherichia coli (strain K12) GN=dacC PE=1 SV=2,dacC,505,537
P00895,57440.09143,Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2,trpE,84,581
P0A887,28037.26502,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE OS=Escherichia coli (strain K12) GN=ubiE PE=1 SV=1,ubiE,1466,911
P33136,57858.11706,Glucans biosynthesis protein G OS=Escherichia coli (strain K12) GN=mdoG PE=1 SV=1,mdoG,929,793
P68767,54826.96661,Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1,pepA,837,642
P18133,45850.34614,Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pncB PE=1 SV=3,pncB,228,562
P21888,52150.62339,Cysteinyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2,cysS,779,617
P00893,62925.97681,Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2,ilvI,56,594
P0A9U3,59802.32729,Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) GN=ybiT PE=1 SV=1,ybiT,596,310
P27306,51509.77384,Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5,sthA,1625,366
P77718,54920.70831,tRNA sulfurtransferase OS=Escherichia coli (strain K12) GN=thiI PE=1 SV=1,thiI,318,192
P00490,90447.61358,Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7,malP,275,217
P0AC38,52304.53112,Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1,aspA,4007,132
P0A7W1,17574.31673,30S ribosomal protein S5 OS=Escherichia coli (strain K12) GN=rpsE PE=1 SV=2,rpsE,47670,20964
P0AG55,18874.15082,50S ribosomal protein L6 OS=Escherichia coli (strain K12) GN=rplF PE=1 SV=2,rplF,41840,20685
P0A9D8,29855.42579,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1",dapD,6222,11858
P0AEU0,28447.63566,Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1,hisJ,2636,11693
P0A707,20533.04237,Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1,infC,17047,10839
P0A7D7,26959.72675,Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) GN=purC PE=1 SV=1,purC,896,9026
P0A717,34178.69451,Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) GN=prs PE=1 SV=2,prs,7280,6185
P09372,21766.1539,Protein grpE OS=Escherichia coli (strain K12) GN=grpE PE=1 SV=1,grpE,12475,5037
P02925,30913.36533,D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1,rbsB,18417,3235
P23836,25501.27781,Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1,phoP,2720,2945
P06987,40234.25797,Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1,hisB,531,2453
P76177,33864.45084,Protein ydgH OS=Escherichia coli (strain K12) GN=ydgH PE=1 SV=1,ydgH,1887,2290
P07001,54570.52368,NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2,pntA,743,2951
P23908,42302.47015,Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2,argE,229,1979
P0A6Y5,32495.88996,33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1,hslO,4454,1740
P0ACJ8,23607.36405,Catabolite gene activator OS=Escherichia coli (strain K12) GN=crp PE=1 SV=1,crp,2865,1968
P10121,54461.90734,Cell division protein ftsY OS=Escherichia coli (strain K12) GN=ftsY PE=1 SV=1,ftsY,1602,1021
P0AFK0,48321.3938,Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1,pmbA,1343,788
P0A796,34801.68622,6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1,pfkA,799,908
P00946,42804.99234,Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1,manA,1449,851
P0AG16,56434.59517,Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) GN=purF PE=1 SV=2,purF,59,570
P75691,37935.87879,Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1,yahK,102,188
P0A7B5,39014.45918,Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1,proB,566,518
P0A8J8,47078.44805,ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2,rhlB,633,464
P0AB24,41094.01915,UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1,ycdO,390,758
P25526,51669.60686,Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1,gabD,504,114
P06715,48723.63153,Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1,gor,430,407
P00562,88814.63109,Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3,metL,95,220
P05042,50438.71,Fumarate hydratase class II OS=Escherichia coli (strain K12) GN=fumC PE=1 SV=1,fumC,889,378
P0AEJ2,42886.87981,Isochorismate synthase entC OS=Escherichia coli (strain K12) GN=entC PE=1 SV=1,entC,81,264
P0A6P5,54983.4506,GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1,der,262,184
P04968,56141.72101,Threonine dehydratase biosynthetic OS=Escherichia coli (strain K12) GN=ilvA PE=1 SV=1,ilvA,72,186
P43672,72004.14163,ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2,uup,357,124
P21499,92033.50406,Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2,rnr,140,75
P07018,57458.31147,Methyl-accepting chemotaxis protein IV OS=Escherichia coli (strain K12) GN=tap PE=1 SV=2,tap,716,385
P0A6J5,47559.0476,D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1,dadA,1630,48
P28635,29395.54573,D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2,metQ,3963,29249
P0A8F0,22500.97299,Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1,upp,10232,19910
P0A8M6,12751.74436,UPF0265 protein yeeX OS=Escherichia coli (strain K12) GN=yeeX PE=3 SV=1,yeeX,13873,22047
P62707,28520.74385,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmA PE=1 SV=2",gpmA,13268,10907
P0A6F1,41387.12046,Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1,carA,1186,9270
P0ABS1,17498.7338,DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1,dksA,19076,5979
P0AEQ3,27155.19991,Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=glnH PE=1 SV=1,glnH,7835,4873
P25524,47543.17582,Cytosine deaminase OS=Escherichia coli (strain K12) GN=codA PE=1 SV=3,codA,688,3334
P0AB67,48673.51161,NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1,pntB,770,1994
P04816,39335.87005,Leucine-specific-binding protein OS=Escherichia coli (strain K12) GN=livK PE=1 SV=2,livK,285,3564
P0ABU2,39624.25951,GTP-dependent nucleic acid-binding protein engD OS=Escherichia coli (strain K12) GN=engD PE=1 SV=2,engD,5648,3221
P0AC02,27793.80498,UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1,yfiO,2169,1977
P33221,42389.00585,Phosphoribosylglycinamide formyltransferase 2 OS=Escherichia coli (strain K12) GN=purT PE=1 SV=3,purT,134,1513
P0AEE1,19757.12484,Protein dcrB OS=Escherichia coli (strain K12) GN=dcrB PE=1 SV=1,dcrB,2680,1525
P0A855,45909.17809,Protein tolB OS=Escherichia coli (strain K12) GN=tolB PE=1 SV=1,tolB,860,1142
P0A9J8,43066.38398,P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1,pheA,177,416
P21599,51306.66919,Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3,pykA,2359,1303
P21156,35147.8827,Sulfate adenylyltransferase subunit 2 OS=Escherichia coli (strain K12) GN=cysD PE=1 SV=3,cysD,126,978
P0A9C3,38148.75888,Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1,galM,2008,854
P0ABC3,37608.49134,Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) GN=hflC PE=1 SV=1,hflC,1263,844
P0A847,42548.22854,Queuine tRNA-ribosyltransferase OS=Escherichia coli (strain K12) GN=tgt PE=1 SV=1,tgt,847,1010
P00393,47310.63259,NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2,ndh,932,498
P27248,40103.1916,Aminomethyltransferase OS=Escherichia coli (strain K12) GN=gcvT PE=1 SV=3,gcvT,3606,613
P09147,37223.63088,UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1,galE,1488,529
P39099,47158.1467,Protease degQ OS=Escherichia coli (strain K12) GN=degQ PE=1 SV=1,degQ,557,589
P09127,42918.90191,Putative uroporphyrinogen-III C-methyltransferase OS=Escherichia coli (strain K12) GN=hemX PE=1 SV=1,hemX,749,403
P22188,53291.93557,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2",murE,514,378
P0ACC7,49141.57527,Bifunctional protein glmU OS=Escherichia coli (strain K12) GN=glmU PE=1 SV=1,glmU,789,476
P60716,36030.34041,Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1,lipA,2428,507
P0A6W9,58214.2673,Glutamate--cysteine ligase OS=Escherichia coli (strain K12) GN=gshA PE=1 SV=1,gshA,412,322
Q46829,55306.84905,6-phospho-beta-glucosidase BglA OS=Escherichia coli (strain K12) GN=bglA PE=3 SV=2,bglA,416,338
P76403,51142.48352,Uncharacterized protease yegQ OS=Escherichia coli (strain K12) GN=yegQ PE=3 SV=1,yegQ,551,346
P24215,44791.5738,Mannonate dehydratase OS=Escherichia coli (strain K12) GN=uxuA PE=1 SV=2,uxuA,980,277
P21507,49865.45062,ATP-dependent RNA helicase srmB OS=Escherichia coli (strain K12) GN=srmB PE=1 SV=1,srmB,426,194
P77488,67555.79182,1-deoxy-D-xylulose-5-phosphate synthase OS=Escherichia coli (strain K12) GN=dxs PE=1 SV=3,dxs,473,198
P36979,43039.98018,Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1,rlmN,424,186
P0AFI2,83760.44139,DNA topoisomerase 4 subunit A OS=Escherichia coli (strain K12) GN=parC PE=1 SV=1,parC,220,121
P0A6L4,32554.82139,N-acetylneuraminate lyase OS=Escherichia coli (strain K12) GN=nanA PE=1 SV=2,nanA,11291,149
P0A9H9,23942.97338,Protein phosphatase CheZ OS=Escherichia coli (strain K12) GN=cheZ PE=1 SV=1,cheZ,5924,3042
P06974,37807.78601,Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1,fliM,1202,676
P63389,71781.04306,Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1,yheS,112,41
P00363,65911.64933,Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,frdA,417,37
P25798,60534.19533,Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=1 SV=3,fliF,325,215
P08956,133993.5805,Type I restriction enzyme EcoKI R protein OS=Escherichia coli (strain K12) GN=hsdR PE=3 SV=3,hsdR,71,12
P0A7J3,17682.37957,50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2,rplJ,92729,39955
P02358,15675.59882,30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1,rpsF,34794,18726
P0AF96,16836.60419,Uncharacterized protein yjgK OS=Escherichia coli (strain K12) GN=yjgK PE=1 SV=1,yjgK,751,1002
P0A9T0,44130.04277,D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) GN=serA PE=1 SV=2,serA,839,12113
P0A6L2,31232.09735,Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1,dapA,4323,4312
P0ACA3,24271.40368,Stringent starvation protein A OS=Escherichia coli (strain K12) GN=sspA PE=1 SV=2,sspA,6681,4212
P0A9P4,34583.36117,Thioredoxin reductase OS=Escherichia coli (strain K12) GN=trxB PE=1 SV=2,trxB,4211,4047
P0ABT2,18665.72624,DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2,dps,5749,2033
P00954,37396.06115,Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,trpS,3137,2870
P0AFK9,38824.47978,Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1,potD,2826,2744
P0A6D7,19508.09251,Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2,aroK,4132,2950
P23893,45318.36911,"Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2",hemL,2861,2374
P0A715,30794.90121,2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1,kdsA,3154,2482
P0AGJ9,47479.05081,Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2,tyrS,2751,2179
P77239,44259.17524,Cation efflux system protein CusB OS=Escherichia coli (strain K12) GN=cusB PE=1 SV=1,cusB,113,1640
P17854,27940.45168,Phosphoadenosine phosphosulfate reductase OS=Escherichia coli (strain K12) GN=cysH PE=1 SV=3,cysH,222,1654
P00963,36609.75524,Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,asnA,917,1426
P08244,26315.46192,Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1,pyrF,923,1561
P0A7G6,37931.55831,Protein recA OS=Escherichia coli (strain K12) GN=recA PE=1 SV=2,recA,2698,1449
P0A993,36792.64622,"Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1",fbp,2365,1224
P40874,40858.33116,N-methyl-L-tryptophan oxidase OS=Escherichia coli (strain K12) GN=solA PE=1 SV=1,solA,622,1020
