Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
arnC	b2254	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	36.339	ECK2247	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	P77757	G7167-MONOMER
arnD	b2256	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	33.112003	ECK2249	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	P76472	G7169-MONOMER
arnE	b4544	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit	12.192	ECK2251	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit	Q47377	MONOMER0-2682
arnF	b2258	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit	14.085001	ECK2252	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit	P76474	G7171-MONOMER
arnT	b2257	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	62.543003	ECK2250	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	P76473	G7170-MONOMER
aroA	b0908	3-phosphoshikimate 1-carboxyvinyltransferase	46.096	ECK0899	3-phosphoshikimate 1-carboxyvinyltransferase	P0A6D3	AROA-MONOMER
aroB	b3389	3-dehydroquinate synthase	38.881	ECK3376	3-dehydroquinate synthase	P07639	AROB-MONOMER
aroC	b2329	chorismate synthase	39.137	ECK2323	chorismate synthase	P12008	AROC-MONOMER
aroD	b1693	3-dehydroquinate dehydratase	27.467001	ECK1691	3-dehydroquinate dehydratase	P05194	AROD-MONOMER
aroE	b3281	shikimate dehydrogenase	29.414001	ECK3268	shikimate dehydrogenase	P15770	AROE-MONOMER
aroF	b2601	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive	38.804	ECK2598	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive	P00888	AROF-MONOMER
aroG	b0754	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	38.009003	ECK0743	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	P0AB91	AROG-MONOMER
aroH	b1704	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	38.735	ECK1702	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	P00887	AROH-MONOMER
aroK	b3390	shikimate kinase 1	19.538	ECK3377	shikimate kinase 1	P0A6D7	AROK-MONOMER
aroL	b0388	shikimate kinase 2	19.151001	ECK0383	shikimate kinase 2	P0A6E1	AROL-MONOMER
aroM	b0390	protein AroM	24.917002	ECK0385	protein AroM	P0AE28	EG10083-MONOMER
aroP	b0112	aromatic amino acid:H<sup>+</sup> symporter AroP	49.690002	ECK0111	aromatic amino acid:H<sup>+</sup> symporter AroP	P15993	AROP-MONOMER
arpA	b4017	regulator of acetyl CoA synthetase	82.59801	ECK4009	regulator of acetyl CoA synthetase	P23325	EG11208-MONOMER
arrS	b4704	small regulatory RNA ArrS		ECK4516	small regulatory RNA ArrS		RNA0-351
arsB	b3502	arsenite/antimonite:H<sup>+</sup> antiporter	45.497	ECK3487	arsenite/antimonite:H<sup>+</sup> antiporter	P0AB93	ARSF-MONOMER
arsC	b3503	arsenate reductase	15.853001	ECK3488	arsenate reductase	P0AB96	EG12237-MONOMER
arsR	b3501	DNA-binding transcriptional repressor ArsR	13.253	ECK3486	DNA-binding transcriptional repressor ArsR	P37309	EG12235-MONOMER
artI	b0863	putative ABC transporter periplasmic binding protein ArtI	26.930002	ECK0854	putative ABC transporter periplasmic binding protein ArtI	P30859	ARTI-MONOMER
artJ	b0860	L-arginine ABC transporter periplasmic binding protein	26.829	ECK0851	L-arginine ABC transporter periplasmic binding protein	P30860	ARTJ-MONOMER
artM	b0861	L-arginine ABC transporter membrane subunit ArtM	24.914001	ECK0852	L-arginine ABC transporter membrane subunit ArtM	P0AE30	ARTM-MONOMER
artP	b0864	L-arginine ABC transporter ATP binding subunit	27.022001	ECK0855	L-arginine ABC transporter ATP binding subunit	P0AAF6	ARTP-MONOMER
artQ	b0862	L-arginine ABC transporter membrane subunit ArtQ	26.217001	ECK0853	L-arginine ABC transporter membrane subunit ArtQ	P0AE34	ARTQ-MONOMER
ascB	b2716	6-phospho-&beta;-glucosidase AscB	53.935	ECK2711	6-phospho-&beta;-glucosidase AscB	P24240	EG10085-MONOMER
ascF	b2715	&beta;-glucoside specific PTS enzyme IIBC component	51.026	ECK2710	&beta;-glucoside specific PTS enzyme IIBC component	P24241	ASCF-MONOMER
ascG	b2714	DNA-binding transcriptional repressor AscG	36.813004	ECK2709	DNA-binding transcriptional repressor AscG	P24242	EG10087-MONOMER
asd	b3433	aspartate-semialdehyde dehydrogenase	40.018	ECK3419	aspartate-semialdehyde dehydrogenase	P0A9Q9	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER
aslA	b3801	putative sulfatase AslA	60.718002	ECK3794	putative sulfatase AslA	P25549	ARYLSULFAT-MONOMER
aslB	b3800	putative anaerobic sulfatase maturation enzyme AslB	46.513	ECK3793	putative anaerobic sulfatase maturation enzyme AslB	P25550	EG10090-MONOMER
asmA	b2064	putative assembly protein AsmA	68.963005	ECK2058	putative assembly protein AsmA	P28249	EG11361-MONOMER
asnA	b3744	asparagine synthetase A	36.651	ECK3738	asparagine synthetase A	P00963	ASNSYNA-MONOMER
asnB	b0674	asparagine synthetase B	62.659004	ECK0662	asparagine synthetase B	P22106	ASNSYNB-MONOMER
asnC	b3743	DNA-binding transcriptional dual regulator AsnC	16.888	ECK3737	DNA-binding transcriptional dual regulator AsnC	P0ACI6	PD00250
asnS	b0930	asparagine&mdash;tRNA ligase	52.570004	ECK0921	asparagine&mdash;tRNA ligase	P0A8M0	ASNS-MONOMER
asnT	b1977	tRNA-Asn(GUU)		ECK1973	tRNA-Asn(GUU)		asnT-tRNA
asnU	b1986	tRNA-Asn(GUU)		ECK1981	tRNA-Asn(GUU)		asnU-tRNA
asnV	b1989	tRNA-Asn(GUU)		ECK1984	tRNA-Asn(GUU)		asnV-tRNA
asnW	b1984	tRNA-Asn(GUU)		ECK1979	tRNA-Asn(GUU)		RNA0-304
aspA	b4139	aspartate ammonia-lyase	52.356003	ECK4133	aspartate ammonia-lyase	P0AC38	ASPARTASE-MONOMER
aspC	b0928	aspartate aminotransferase	43.573	ECK0919	aspartate aminotransferase	P00509	ASPAMINOTRANS-MONOMER
aspS	b1866	aspartate&mdash;tRNA ligase	65.913	ECK1867	aspartate&mdash;tRNA ligase	P21889	ASPS-MONOMER
aspT	b3760	tRNA-Asp(GUC)		ECK3754	tRNA-Asp(GUC)		aspT-tRNA
aspU	b0206	tRNA-Asp(GUC)		ECK0206	tRNA-Asp(GUC)		aspU-tRNA
aspV	b0216	tRNA-Asp(GUC)		ECK0216	tRNA-Asp(GUC)		aspV-tRNA
aspX	b4825	small regulatory RNA AspX		ECK4682	small regulatory RNA AspX		RNA0-418
asr	b1597	periplasmic chaperone Asr	10.591001	ECK1592	periplasmic chaperone Asr	P36560	G6855-MONOMER
astA	b1747	arginine N-succinyltransferase	38.456	ECK1745	arginine N-succinyltransferase	P0AE37	ARGSUCCTRAN-MONOMER
astB	b1745	<i>N</i>-succinylarginine dihydrolase	49.299004	ECK1743	<i>N</i>-succinylarginine dihydrolase	P76216	SUCCARGDIHYDRO-MONOMER
astC	b1748	succinylornithine transaminase	43.665	ECK1746	succinylornithine transaminase	P77581	SUCCORNTRANSAM-MONOMER
astD	b1746	aldehyde dehydrogenase	53.026	ECK1744	aldehyde dehydrogenase	P76217	SUCCGLUALDDEHYD-MONOMER
astE	b1744	succinylglutamate desuccinylase	35.800003	ECK1742	succinylglutamate desuccinylase	P76215	SUCCGLUDESUCC-MONOMER
atoA	b2222	acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;	22.960001	ECK2215	acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;	P76459	ATOA-MONOMER
atoB	b2224	acetyl-CoA acetyltransferase	40.352	ECK2217	acetyl-CoA acetyltransferase	P76461	ACETYL-COA-ACETYLTRANSFER-MONOMER
atoC	b2220	DNA-binding transcriptional activator AtoC-phosphorylated // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC	52.176304 // 52.176003	ECK2213	DNA-binding transcriptional activator AtoC-phosphorylated // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC	Q06065	DNA-binding transcriptional activator AtoC-phosphorylated // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC
atoD	b2221	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;	23.526001	ECK2214	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;	P76458	ATOD-MONOMER
atoE	b2223	short chain fatty acid transporter	47.528004	ECK2216	short chain fatty acid transporter	P76460	EG11671-MONOMER
atoS	b2219	sensor histidine kinase AtoS	67.79	ECK2212	sensor histidine kinase AtoS	Q06067	ATOS-MONOMER
atpA	b3734	ATP synthase F<sub>1</sub> complex subunit &alpha;	55.222004	ECK3727	ATP synthase F<sub>1</sub> complex subunit &alpha;	P0ABB0	ATPA-MONOMER
atpB	b3738	ATP synthase F<sub>o</sub> complex subunit a	30.303001	ECK3731	ATP synthase F<sub>o</sub> complex subunit a	P0AB98	ATPB-MONOMER
atpC	b3731	ATP synthase F<sub>1</sub> complex subunit &epsilon;	15.068001	ECK3724	ATP synthase F<sub>1</sub> complex subunit &epsilon;	P0A6E6	ATPC-MONOMER
atpD	b3732	ATP synthase F<sub>1</sub> complex subunit &beta;	50.325	ECK3725	ATP synthase F<sub>1</sub> complex subunit &beta;	P0ABB4	ATPD-MONOMER
atpE	b3737	ATP synthase F<sub>o</sub> complex subunit c	8.2560005	ECK3730	ATP synthase F<sub>o</sub> complex subunit c	P68699	ATPE-MONOMER
atpF	b3736	ATP synthase F<sub>o</sub> complex subunit b	17.264	ECK3729	ATP synthase F<sub>o</sub> complex subunit b	P0ABA0	ATPF-MONOMER
atpG	b3733	ATP synthase F<sub>1</sub> complex subunit &gamma;	31.577002	ECK3726	ATP synthase F<sub>1</sub> complex subunit &gamma;	P0ABA6	ATPG-MONOMER
atpH	b3735	ATP synthase F<sub>1</sub> complex subunit &delta;	19.332	ECK3728	ATP synthase F<sub>1</sub> complex subunit &delta;	P0ABA4	ATPH-MONOMER
atpI	b3739	ATP synthase accessory factor AtpI	13.632001	ECK3732	ATP synthase accessory factor AtpI	P0ABC0	EG10106-MONOMER
avtA	b3572	valine&mdash;pyruvate aminotransferase	46.711002	ECK3561	valine&mdash;pyruvate aminotransferase	P09053	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER
azoR	b1412	FMN dependent NADH:quinone oxidoreductase	21.658	ECK1405	FMN dependent NADH:quinone oxidoreductase	P41407	G6731-MONOMER
azuC	b4663	small regulatory membrane protein AzuC	3.4080002	ECK4478	small regulatory membrane protein AzuC	C1P605	MONOMER0-2880
azuR	b4434	small regulatory RNA AzuR		ECK1902	small regulatory RNA AzuR		RNA0-430
bacA	b3057	undecaprenyl pyrophosphate phosphatase	29.759	ECK3047	undecaprenyl pyrophosphate phosphatase	P60932	EG11665-MONOMER
baeR	b2079	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR	27.655893 // 27.656002	ECK2075	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR	P69228	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR
baeS	b2078	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS	51.99126 // 51.991	ECK2074	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS	P30847	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS
bamA	b0177	outer membrane protein assembly factor BamA	90.553	ECK0176	outer membrane protein assembly factor BamA	P0A940	G6093-MONOMER
bamB	b2512	outer membrane protein assembly factor BamB	41.887	ECK2508	outer membrane protein assembly factor BamB	P77774	G7320-MONOMER
bamC	b2477	outer membrane protein assembly factor BamC	36.842003	ECK2473	outer membrane protein assembly factor BamC	P0A903	EG10658-MONOMER
bamD	b2595	outer membrane protein assembly factor BamD	27.829	ECK2593	outer membrane protein assembly factor BamD	P0AC02	G7352-MONOMER
bamE	b2617	outer membrane protein assembly factor BamE	12.302001	ECK2613	outer membrane protein assembly factor BamE	P0A937	EG10952-MONOMER
barA	b2786	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA	102.45301 // 102.453	ECK2780	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA	P0AEC5	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA
basR	b4113	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR	25.030771 // 25.031002	ECK4106	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR	P30843	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR
basS	b4112	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS	41.02917 // 41.029003	ECK4105	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS	P30844	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS
bax	b3570	putative glycoside hydrolase Bax	30.868002	ECK3559	putative glycoside hydrolase Bax	P27297	EG11360-MONOMER
baxL	b4794	putative translational regulatory protein BaxL	0.95100003	ECK4651	putative translational regulatory protein BaxL	P0DSH2	MONOMER0-4506
bcp	b2480	thiol peroxidase	17.634	ECK2476	thiol peroxidase	P0AE52	EG10108-MONOMER
bcr	b2182	multidrug efflux pump Bcr	43.353	ECK2176	multidrug efflux pump Bcr	P28246	BCR-MONOMER
bcsA	b3533	cellulose synthase catalytic subunit	99.784004	ECK3518	cellulose synthase catalytic subunit	P37653	EG12260-MONOMER
bcsB	b3532	cellulose synthase periplasmic subunit	86.024	ECK3517	cellulose synthase periplasmic subunit	P37652	EG12259-MONOMER
bcsC	b3530	cellulose synthase outer membrane channel	127.72401	ECK3515	cellulose synthase outer membrane channel	P37650	EG12257-MONOMER
bcsE	b3536	c-di-GMP-binding protein BcsE	59.428	ECK3521	c-di-GMP-binding protein BcsE	P37657	EG12263-MONOMER
bcsF	b3537	putative cellulose biosynthesis protein BcsF	7.3640003	ECK3522	putative cellulose biosynthesis protein BcsF	P0ADJ5	EG12264-MONOMER
bcsG	b3538	cellulose phosphoethanolamine transferase	62.032	ECK3523	cellulose phosphoethanolamine transferase	P37659	EG12265-MONOMER
bcsZ	b3531	endo-1,4-D-glucanase	41.7	ECK3516	endo-1,4-D-glucanase	P37651	EG12258-MONOMER
bdcA	b4249	c-di-GMP-binding biofilm dispersal mediator protein	24.598001	ECK4243	c-di-GMP-binding biofilm dispersal mediator protein	P39333	G7880-MONOMER
bdcR	b4251	putative transcriptional regulator BdcR	21.501001	ECK4244	putative transcriptional regulator BdcR	P39334	G7882-MONOMER
bdm	b1481	biofilm-dependent modulation protein	7.9870005	ECK1475	biofilm-dependent modulation protein	P76127	G6776-MONOMER
beeE	b1151	e14 prophage; protein BeeE	17.609001	ECK1137	e14 prophage; protein BeeE	P75980	G6595-MONOMER
bepA	b2494	&beta;-barrel assembly-enhancing protease	53.908	ECK2490	&beta;-barrel assembly-enhancing protease	P66948	G7311-MONOMER
betA	b0311	choline dehydrogenase	61.878002	ECK0309	choline dehydrogenase	P17444	CHD-MONOMER
betB	b0312	betaine aldehyde dehydrogenase	52.911003	ECK0310	betaine aldehyde dehydrogenase	P17445	BADH-MONOMER
betI	b0313	DNA-binding transcriptional repressor BetI	21.815	ECK0311	DNA-binding transcriptional repressor BetI	P17446	PD00251
betT	b0314	choline:H+ symporter	75.842	ECK0312	choline:H+ symporter	P0ABC9	BETT-MONOMER
bfd	b3337	bacterioferritin-associated ferredoxin	7.3630004	ECK3324	bacterioferritin-associated ferredoxin	P0AE56	EG11181-MONOMER
bfr	b3336	bacterioferritin	18.495	ECK3323	bacterioferritin	P0ABD3	EG10113-MONOMER
bglA	b2901	6-phospho-&beta;-glucosidase A	55.361004	ECK2896	6-phospho-&beta;-glucosidase A	Q46829	G495-MONOMER
bglB	b3721	6-phospho-&beta;-glucosidase B	53.161003	ECK3714	6-phospho-&beta;-glucosidase B	P11988	EG10114-MONOMER
bglF	b3722	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	66.483	ECK3715	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	P08722	BGLF-MONOMER
bglG	b3723	transcriptional antiterminator BglG	32.097	ECK3716	transcriptional antiterminator BglG	P11989	EG10116-MONOMER
bglH	b3720	carbohydrate-specific outer membrane porin, cryptic	60.657	ECK3713	carbohydrate-specific outer membrane porin, cryptic	P26218	EG11364-MONOMER
bglJ	b4366	DNA-binding transcriptional regulator BglJ	25.622002	ECK4356	DNA-binding transcriptional regulator BglJ	P39404	G7948-MONOMER
bglX	b2132	putative periplasmic glycoside hydrolase	83.46001	ECK2125	putative periplasmic glycoside hydrolase	P33363	EG12013-MONOMER
bhsA	b1112	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	8.815001	ECK1098	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	P0AB40	G6570-MONOMER
bhsB	b4832	small RNA BhsB		ECK4689	small RNA BhsB		RNA0-425
bidA	b1593	dethiobiotin synthetase BidA	24.981	ECK1588	dethiobiotin synthetase BidA	P0A6E9	G6851-MONOMER
bioA	b0774	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	47.336002	ECK0763	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	P12995	DAPASYN-MONOMER
bioB	b0775	biotin synthase	38.648003	ECK0764	biotin synthase	P12996	BIOTIN-SYN-MONOMER
bioC	b0777	malonyl-acyl carrier protein methyltransferase	28.276001	ECK0766	malonyl-acyl carrier protein methyltransferase	P12999	EG10119-MONOMER
bioD	b0778	dethiobiotin synthetase	24.140001	ECK0767	dethiobiotin synthetase	P13000	DETHIOBIOTIN-SYN-MONOMER
bioF	b0776	8-amino-7-oxononanoate synthase	41.594	ECK0765	8-amino-7-oxononanoate synthase	P12998	7KAPSYN-MONOMER
bioH	b3412	pimeloyl-acyl carrier protein methyl ester esterase	28.505001	ECK3399	pimeloyl-acyl carrier protein methyl ester esterase	P13001	EG10122-MONOMER
bioP	b3827	biotin transporter	33.727	ECK3821	biotin transporter	P0ADP5	EG11471-MONOMER
bipA	b3871	50S ribosomal subunit assembly factor BipA	67.355	ECK3864	50S ribosomal subunit assembly factor BipA	P0DTT0	EG11837-MONOMER
birA	b3973	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	35.312	ECK3965	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	P06709	BIOTINLIG-MONOMER
bisC	b3551	biotin sulfoxide reductase	85.851006	ECK3538	biotin sulfoxide reductase	P20099	EG10124-MONOMER
blc	b4149	outer membrane lipoprotein Blc	19.852001	ECK4145	outer membrane lipoprotein Blc	P0A901	G7837-MONOMER
blr	b4409	&beta;-lactam resistance protein	4.556	ECK1620	&beta;-lactam resistance protein	P56976	MONOMER0-1561
bluF	b1163	blue light- and temperature-regulated antirepressor BluF	45.295002	ECK1150	blue light- and temperature-regulated antirepressor BluF	P75990	G6603-MONOMER
bluR	b1162	DNA-binding transcriptional repressor BluR	28.264002	ECK1149	DNA-binding transcriptional repressor BluR	P75989	G6602-MONOMER
bolA	b0435	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA	11.994	ECK0429	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA	P0ABE2	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA
borD	b0557	DLP12 prophage; prophage lipoprotein BorD	10.4470005	ECK0549	DLP12 prophage; prophage lipoprotein BorD	P77330	G6312-MONOMER
brnQ	b0401	branched chain amino acid transporter BrnQ	46.209003	ECK0395	branched chain amino acid transporter BrnQ	P0AD99	BRNQ-MONOMER
bsmA	b4189	DUF1471 domain-containing putative lipoprotein BsmA	12.038	ECK4185	DUF1471 domain-containing putative lipoprotein BsmA	P39297	G7852-MONOMER
bssR	b0836	regulator of biofilm formation	14.536	ECK0826	regulator of biofilm formation	P0AAY1	G6436-MONOMER
bssS	b1060	regulator of biofilm formation	9.6640005	ECK1045	regulator of biofilm formation	P0AB33	G6557-MONOMER
btsR	b2125	phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR	27.400002	ECK2117	phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR	P0AFT5	phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR
btsS	b2126	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor	62.092003	ECK2118	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor	P0AD14	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor
btsT	b4354	pyruvate:H<sup>+</sup> symporter	77.324005	ECK4344	pyruvate:H<sup>+</sup> symporter	P39396	G7942-MONOMER
btuB	b3966	cobalamin outer membrane transporter	68.407005	ECK3958	cobalamin outer membrane transporter	P06129	EG10126-MONOMER
btuC	b1711	vitamin B<sub>12</sub> ABC transporter membrane subunit	34.949	ECK1709	vitamin B<sub>12</sub> ABC transporter membrane subunit	P06609	BTUC-MONOMER
btuD	b1709	vitamin B<sub>12</sub> ABC transporter ATP binding subunit	27.081001	ECK1707	vitamin B<sub>12</sub> ABC transporter ATP binding subunit	P06611	BTUD-MONOMER
btuE	b1710	thioredoxin/glutathione peroxidase BtuE	20.470001	ECK1708	thioredoxin/glutathione peroxidase BtuE	P06610	BTUE-MONOMER
btuF	b0158	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein	29.367	ECK0157	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein	P37028	EG12334-MONOMER
btuR	b1270	cobinamide/cobalamin adenosyltransferase	21.999	ECK1264	cobinamide/cobalamin adenosyltransferase	P0A9H5	COBALADENOSYLTRANS-MONOMER
C0293	b4806	e14 prophage; small regulatory RNA C0293		ECK4663	e14 prophage; small regulatory RNA C0293		RNA0-409
cadA	b4131	lysine decarboxylase 1	81.26	ECK4125	lysine decarboxylase 1	P0A9H3	LYSDECARBOX-MONOMER
cadB	b4132	lysine:cadaverine antiporter	46.665	ECK4126	lysine:cadaverine antiporter	P0AAE8	CADB-MONOMER
cadC	b4133	DNA-binding transcriptional activator CadC	57.813004	ECK4127	DNA-binding transcriptional activator CadC	P23890	PD00436
caiA	b0039	crotonobetainyl-CoA reductase	42.558002	ECK0040	crotonobetainyl-CoA reductase	P60584	CROBETREDUCT-MONOMER
caiB	b0038	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	45.127003	ECK0039	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	P31572	CARNDEHYDRA-MONOMER
caiC	b0037	carnitine&mdash;CoA ligase	58.559002	ECK0038	carnitine&mdash;CoA ligase	P31552	CAIC-MONOMER
caiD	b0036	crotonobetainyl-CoA hydratase	28.19	ECK0037	crotonobetainyl-CoA hydratase	P31551	CARNRACE-MONOMER
caiE	b0035	putative transferase CaiE	21.244001	ECK0036	putative transferase CaiE	P39206	CAIE-MONOMER
caiF	b0034	DNA-binding transcriptional activator CaiF	15.436001	ECK0035	DNA-binding transcriptional activator CaiF	P0AE58	G6088-MONOMER
